baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000074743.4	2085.23163849686	-1.53735897957222	0.0963167380735612	-15.9614934052072	2.36992094262398e-57	2.64116044935205e-55
ENSMUSG00000000120.6	193.443767789059	5.29815468326156	0.332085710348256	15.9541784490077	2.66456902864381e-57	2.9524649926582e-55
ENSMUSG00000051375.15	263.013099372856	2.84822695258276	0.178850683221483	15.925166744013	4.23882220851107e-57	4.66997098171962e-55
ENSMUSG00000035852.11	605.713936230681	8.93370072877352	0.561428693137401	15.9124405965962	5.19482919127517e-57	5.69069925044235e-55
ENSMUSG00000098678.1	216.395299449066	6.16395243171234	0.387846456171838	15.8927646072944	7.11205241014752e-57	7.74691358574261e-55
ENSMUSG00000050069.3	1094.63631541717	-2.06615435990122	0.130094983338876	-15.8818911142733	8.45891327051799e-57	9.16223864357229e-55
ENSMUSG00000025357.8	683.359694304322	2.06632969328971	0.13032962976167	15.8546425480403	1.30568386110332e-56	1.40634552190346e-54
ENSMUSG00000035834.11	438.231490163265	2.94995907182314	0.186206323092422	15.8424215828533	1.58593855869171e-56	1.69871641175423e-54
ENSMUSG00000024222.17	613.648355490884	2.0963072343603	0.132444507482261	15.8278155448693	2.00046548130797e-56	2.13088256793468e-54
ENSMUSG00000028518.8	580.571503371401	2.60013518029214	0.164430819676018	15.812943007979	2.53350011038666e-56	2.68383967737663e-54
ENSMUSG00000062151.13	565.328762207521	2.31546557146638	0.146495761853199	15.8056829916122	2.842924515532e-56	2.99516856062607e-54
ENSMUSG00000074652.3	355.101917166766	7.27376201397515	0.460387816053971	15.799206148241	3.15059046445473e-56	3.30127087797213e-54
ENSMUSG00000029246.14	731.394111077168	2.08675619128864	0.132321157527962	15.7703894847478	4.97420878313844e-56	5.18393218048157e-54
ENSMUSG00000092060.4	218.584153423671	4.47129475055531	0.2845150576445	15.7154942433387	1.18453845722529e-55	1.22784416426363e-53
ENSMUSG00000051076.8	170.78624749587	4.95874252883909	0.315735132318066	15.7053872732913	1.38926715730049e-55	1.43235672688521e-53
ENSMUSG00000026450.14	283.488113469354	7.19035267263545	0.458682598735148	15.6760964825424	2.20388676172502e-55	2.26015621096055e-53
ENSMUSG00000002228.7	191.07029729981	3.84949410389175	0.246487402006893	15.6174071070135	5.54136838679303e-55	5.65278214271797e-53
ENSMUSG00000000889.8	184.582664535697	5.28521976067788	0.338554358810047	15.6111407906677	6.11340282127657e-55	6.20349507337959e-53
ENSMUSG00000028581.17	278.589990246961	7.15719069517047	0.459526991848323	15.575125775273	1.0744151214191e-54	1.08454049952671e-52
ENSMUSG00000026496.11	1627.37256552668	1.68273633180608	0.10804477039273	15.5744357240941	1.08607228918494e-54	1.09059759038988e-52
ENSMUSG00000044641.7	225.529780838498	3.0446766302394	0.195558595553116	15.5691271029426	1.18006630715576e-54	1.17884344051622e-52
ENSMUSG00000027832.5	564.700853570217	-2.12791366953013	0.136843699810028	-15.5499571590375	1.59212283681343e-54	1.58227465431767e-52
ENSMUSG00000073722.3	450.960602331656	8.32107320854579	0.537492385683741	15.4812857450261	4.64103702668784e-54	4.58867660895085e-52
ENSMUSG00000018411.17	179.220791940672	5.17233407545237	0.335583663125365	15.4129495675722	1.33955474432347e-53	1.31768446278349e-51
ENSMUSG00000035258.15	864.060622514047	-2.58128149362971	0.167508640120594	-15.4098408999761	1.40557466271891e-53	1.37560809630561e-51
ENSMUSG00000038530.11	222.974120973045	-3.13932405312261	0.203745580425215	-15.4080596328562	1.4448540802006e-53	1.40690841748826e-51
ENSMUSG00000030849.18	800.668873904542	-1.80460092446289	0.117285679250729	-15.3863705781597	2.02052296050526e-53	1.95757199389655e-51
ENSMUSG00000036553.16	170.668337140228	3.53256986501514	0.230073114728813	15.3541184904589	3.32396979800621e-53	3.20430688527799e-51
ENSMUSG00000030091.17	408.553266968518	8.17967285180929	0.534064648532561	15.3158852103101	5.98909101714334e-53	5.74475994082207e-51
ENSMUSG00000050296.14	232.004213084115	6.62654697773832	0.433742016190837	15.2776229426268	1.07801722781398e-52	1.0289194134779e-50
ENSMUSG00000021186.9	3740.04199463937	-1.67235354736732	0.109590151615479	-15.260071481926	1.41093677654495e-52	1.34004241634417e-50
ENSMUSG00000000278.10	4045.78526503306	-1.34208526979548	0.0879651763490787	-15.2570065280104	1.47878345770435e-52	1.39759534630098e-50
ENSMUSG00000079037.9	4670.91659518033	-1.42846185711342	0.0936443794747674	-15.2541120473581	1.54583593029607e-52	1.45383984078577e-50
ENSMUSG00000054423.14	162.283784570922	4.25298739074019	0.278897790698665	15.2492688453575	1.66486945565313e-52	1.55818850024235e-50
